n,repeat,cell,qkey,method,wd
5,0,White | Protestant,GOODEVIL_W92,probe_plain,0.3807031152196997
5,0,White | Protestant,GOODEVIL_W92,probe_L_group,0.4236820661168711
5,0,White | Protestant,GOODEVIL_W92,shrinkage,0.017671414088084036
5,0,White | Protestant,GOVAID_W92,probe_plain,0.1924523585347664
5,0,White | Protestant,GOVAID_W92,probe_L_group,0.4043963806453472
5,0,White | Protestant,GOVAID_W92,shrinkage,0.018922177783804672
5,0,White | Protestant,GOVPROTCT_W92,probe_plain,0.3022137612679862
5,0,White | Protestant,GOVPROTCT_W92,probe_L_group,0.5148324918726914
5,0,White | Protestant,GOVPROTCT_W92,shrinkage,0.031257809598490505
5,0,White | Protestant,GOVREGV2_W49,probe_plain,0.43762000627300146
5,0,White | Protestant,GOVREGV2_W49,probe_L_group,0.4395635947096136
5,0,White | Protestant,GOVREGV2_W49,shrinkage,0.06395727337153345
5,0,White | Protestant,GOVSIZE1_W92,probe_plain,0.1859816110160879
5,0,White | Protestant,GOVSIZE1_W92,probe_L_group,0.32677758880897234
5,0,White | Protestant,GOVSIZE1_W92,shrinkage,0.23373406880890424
5,0,White | Protestant,GOVSIZE2_W92,probe_plain,0.013399376896039206
5,0,White | Protestant,GOVSIZE2_W92,probe_L_group,0.6377553354820715
5,0,White | Protestant,GOVSIZE2_W92,shrinkage,0.03071211448549649
5,0,White | Protestant,GOVSIZE3_W92,probe_plain,0.3274984227559874
5,0,White | Protestant,GOVSIZE3_W92,probe_L_group,0.34307450125738603
5,0,White | Protestant,GOVSIZE3_W92,shrinkage,0.03348020798945317
5,0,White | Protestant,GOVTHC_W92,probe_plain,0.5695769990357638
5,0,White | Protestant,GOVTHC_W92,probe_L_group,0.5695839073968578
5,0,White | Protestant,GOVTHC_W92,shrinkage,0.20116101925764046
5,0,White | Protestant,GOVWASTE_W92,probe_plain,0.325481871997402
5,0,White | Protestant,GOVWASTE_W92,probe_L_group,0.3260697392695513
5,0,White | Protestant,GOVWASTE_W92,shrinkage,0.0949318541985199
5,0,White | Protestant,HOMEASSIST1_W49,probe_plain,0.63340630481649
5,0,White | Protestant,HOMEASSIST1_W49,probe_L_group,0.7764626260095437
5,0,White | Protestant,HOMEASSIST1_W49,shrinkage,0.020110858799736564
5,0,White | Protestant,HOMEASSIST5a_W49,probe_plain,0.6443078125469286
5,0,White | Protestant,HOMEASSIST5a_W49,probe_L_group,0.6444122056252533
5,0,White | Protestant,HOMEASSIST5a_W49,shrinkage,0.05559940216766324
5,0,White | Protestant,HOMEASSIST5b_W49,probe_plain,0.7563892180124546
5,0,White | Protestant,HOMEASSIST5b_W49,probe_L_group,0.7779914899747982
5,0,White | Protestant,HOMEASSIST5b_W49,shrinkage,0.12749601422320442
5,0,White | Protestant,HOMEIOT_W49,probe_plain,0.4332062792281506
5,0,White | Protestant,HOMEIOT_W49,probe_L_group,0.825306314093097
5,0,White | Protestant,HOMEIOT_W49,shrinkage,0.07650659549607403
5,0,White | Protestant,INFOKNOWa_W45,probe_plain,0.5817280358078498
5,0,White | Protestant,INFOKNOWa_W45,probe_L_group,0.5817403046457041
5,0,White | Protestant,INFOKNOWa_W45,shrinkage,0.03133122298943514
5,0,White | Protestant,INFOKNOWb_W45,probe_plain,0.3424179477408955
5,0,White | Protestant,INFOKNOWb_W45,probe_L_group,0.34242097904747215
5,0,White | Protestant,INFOKNOWb_W45,shrinkage,0.02190736757749001
5,0,White | Protestant,INFOKNOWc_W45,probe_plain,0.5421356998966513
5,0,White | Protestant,INFOKNOWc_W45,probe_L_group,0.5422221037178669
5,0,White | Protestant,INFOKNOWc_W45,shrinkage,0.0037667482460417845
5,0,White | Protestant,INFOKNOWd_W45,probe_plain,0.3956864108159571
5,0,White | Protestant,INFOKNOWd_W45,probe_L_group,0.3956908176628079
5,0,White | Protestant,INFOKNOWd_W45,shrinkage,0.08977247444239289
5,0,White | Protestant,INFOKNOWe_W45,probe_plain,0.6198306435113146
5,0,White | Protestant,INFOKNOWe_W45,probe_L_group,0.6198465999183
5,0,White | Protestant,INFOKNOWe_W45,shrinkage,0.015182319031342928
5,0,White | Protestant,INFOOWNa_W45,probe_plain,0.3645230275899257
5,0,White | Protestant,INFOOWNa_W45,probe_L_group,0.373442440986144
5,0,White | Protestant,INFOOWNa_W45,shrinkage,0.06053418557307777
5,0,White | Protestant,INFOOWNb_W45,probe_plain,0.21518560156028377
5,0,White | Protestant,INFOOWNb_W45,probe_L_group,0.21738222685698416
5,0,White | Protestant,INFOOWNb_W45,shrinkage,0.11006132181669015
5,0,White | Protestant,INFOOWNc_W45,probe_plain,0.3042277605868745
5,0,White | Protestant,INFOOWNc_W45,probe_L_group,0.3979746837415451
5,0,White | Protestant,INFOOWNc_W45,shrinkage,0.0968553582909707
5,0,White | Protestant,INFOOWNd_W45,probe_plain,0.20150791632055687
5,0,White | Protestant,INFOOWNd_W45,probe_L_group,0.21291270024250442
5,0,White | Protestant,INFOOWNd_W45,shrinkage,0.0011420241222090954
5,0,White | Protestant,INFOOWNe_W45,probe_plain,0.456420666533073
5,0,White | Protestant,INFOOWNe_W45,probe_L_group,0.4783714805738709
5,0,White | Protestant,INFOOWNe_W45,shrinkage,0.021831673501062743
5,0,White | Protestant,INFORESTRICTa_W45,probe_plain,0.1971912636701815
5,0,White | Protestant,INFORESTRICTa_W45,probe_L_group,0.8027597124934713
5,0,White | Protestant,INFORESTRICTa_W45,shrinkage,0.021859409162444776
5,0,White | Protestant,INFORESTRICTb_W45,probe_plain,0.6464158587261453
5,0,White | Protestant,INFORESTRICTb_W45,probe_L_group,0.336913564911143
5,0,White | Protestant,INFORESTRICTb_W45,shrinkage,0.06029606647318353
5,0,White | Protestant,INFORESTRICTc_W45,probe_plain,0.398722122531348
5,0,White | Protestant,INFORESTRICTc_W45,probe_L_group,0.5740130664450721
5,0,White | Protestant,INFORESTRICTc_W45,shrinkage,0.09218462545335326
5,0,White | Protestant,INFORESTRICTd_W45,probe_plain,0.5841881149163941
5,0,White | Protestant,INFORESTRICTd_W45,probe_L_group,0.3766173364783115
5,0,White | Protestant,INFORESTRICTd_W45,shrinkage,0.053833886751594284
5,0,White | Protestant,INFORESTRICTe_W45,probe_plain,0.20767888405298573
5,0,White | Protestant,INFORESTRICTe_W45,probe_L_group,0.7922925677035288
5,0,White | Protestant,INFORESTRICTe_W45,shrinkage,0.018797814159832282
5,0,White | Protestant,INSTN_BNKS_W92,probe_plain,0.5278468081422744
5,0,White | Protestant,INSTN_BNKS_W92,probe_L_group,0.4721500912846529
5,0,White | Protestant,INSTN_BNKS_W92,shrinkage,0.04112242744522532
5,0,White | Protestant,INSTN_CHR_W92,probe_plain,0.806305610716059
5,0,White | Protestant,INSTN_CHR_W92,probe_L_group,0.19350497039968684
5,0,White | Protestant,INSTN_CHR_W92,shrinkage,0.0820287765171478
5,0,White | Protestant,INSTN_CLGS_W92,probe_plain,0.444759449916551
5,0,White | Protestant,INSTN_CLGS_W92,probe_L_group,0.5552300459088855
5,0,White | Protestant,INSTN_CLGS_W92,shrinkage,0.08901554793185945
5,0,White | Protestant,INSTN_K12_W92,probe_plain,0.5438594702296143
5,0,White | Protestant,INSTN_K12_W92,probe_L_group,0.4560766344825993
5,0,White | Protestant,INSTN_K12_W92,shrinkage,0.13219122376224113
5,0,White | Protestant,INSTN_LBRUN_W92,probe_plain,0.456952006018446
5,0,White | Protestant,INSTN_LBRUN_W92,probe_L_group,0.542968300026226
5,0,White | Protestant,INSTN_LBRUN_W92,shrinkage,0.06241631418609822
5,0,White | Protestant,INSTN_LGECRP_W92,probe_plain,0.2706828563604933
5,0,White | Protestant,INSTN_LGECRP_W92,probe_L_group,0.7292971979090995
5,0,White | Protestant,INSTN_LGECRP_W92,shrinkage,0.028774302983599176
5,0,White | Protestant,INSTN_MSCENT_W92,probe_plain,0.23489029656423463
5,0,White | Protestant,INSTN_MSCENT_W92,probe_L_group,0.7651091880808325
5,0,White | Protestant,INSTN_MSCENT_W92,shrinkage,0.04277630782384084
5,0,White | Protestant,INSTN_TECHCMP_W92,probe_plain,0.4400814610155584
5,0,White | Protestant,INSTN_TECHCMP_W92,probe_L_group,0.5598652627490419
5,0,White | Protestant,INSTN_TECHCMP_W92,shrinkage,0.2083887280909102
5,0,White | Protestant,LEAD_W45,probe_plain,0.27567427191955685
5,0,White | Protestant,LEAD_W45,probe_L_group,0.27567873881078686
5,0,White | Protestant,LEAD_W45,shrinkage,0.06820860181379962
5,0,White | Protestant,LOYALTY_W49,probe_plain,0.10302340864695436
5,0,White | Protestant,LOYALTY_W49,probe_L_group,0.310994146573212
5,0,White | Protestant,LOYALTY_W49,shrinkage,0.01231257632506444
5,0,White | Protestant,LWPSP_W50,probe_plain,0.3791443255575348
5,0,White | Protestant,LWPSP_W50,probe_L_group,0.49854689814210307
5,0,White | Protestant,LWPSP_W50,shrinkage,0.030498842102812174
5,0,White | Protestant,LWPT_W50,probe_plain,0.1897329708871296
5,0,White | Protestant,LWPT_W50,probe_L_group,0.8092381348919078
5,0,White | Protestant,LWPT_W50,shrinkage,0.031765598427209024
5,0,White | Protestant,MADEUPRESa_W45,probe_plain,0.3984943199975868
5,0,White | Protestant,MADEUPRESa_W45,probe_L_group,0.31747097673629054
5,0,White | Protestant,MADEUPRESa_W45,shrinkage,0.012551395081969563
5,0,White | Protestant,MADEUPRESb_W45,probe_plain,0.42165967043365693
5,0,White | Protestant,MADEUPRESb_W45,probe_L_group,0.5173891974228473
5,0,White | Protestant,MADEUPRESb_W45,shrinkage,0.06638241647497833
5,0,White | Protestant,MADEUPRESc_W45,probe_plain,0.18671307512064728
5,0,White | Protestant,MADEUPRESc_W45,probe_L_group,0.2059413366440941
5,0,White | Protestant,MADEUPRESc_W45,shrinkage,0.03145662791863546
5,0,White | Protestant,MADEUPRESd_W45,probe_plain,0.25964360885076865
5,0,White | Protestant,MADEUPRESd_W45,probe_L_group,0.6851073968791881
5,0,White | Protestant,MADEUPRESd_W45,shrinkage,0.04250442656837611
5,0,White | Protestant,MADEUPRESe_W45,probe_plain,0.4758649150797671
5,0,White | Protestant,MADEUPRESe_W45,probe_L_group,0.4668889897614562
5,0,White | Protestant,MADEUPRESe_W45,shrinkage,0.08288047055926745
5,0,White | Protestant,MADEUPSHARE1_W45,probe_plain,0.24849911666555735
5,0,White | Protestant,MADEUPSHARE1_W45,probe_L_group,0.49734811734912476
5,0,White | Protestant,MADEUPSHARE1_W45,shrinkage,0.021380778262470035
5,0,White | Protestant,MADEUPSHARE2_W45,probe_plain,0.009077150858539496
5,0,White | Protestant,MADEUPSHARE2_W45,probe_L_group,0.9230641378550141
5,0,White | Protestant,MADEUPSHARE2_W45,shrinkage,0.013215776216623107
5,0,White | Protestant,MADEUPSMFOL1_W45,probe_plain,0.44477076134657545
5,0,White | Protestant,MADEUPSMFOL1_W45,probe_L_group,0.4842248330147588
5,0,White | Protestant,MADEUPSMFOL1_W45,shrinkage,0.03354306407091884
5,0,White | Protestant,MADEUPSMFOL2_W45,probe_plain,0.4226840763315195
5,0,White | Protestant,MADEUPSMFOL2_W45,probe_L_group,0.5029363660759857
5,0,White | Protestant,MADEUPSMFOL2_W45,shrinkage,0.045662088490194264
5,0,White | Protestant,MAR2_W50,probe_plain,0.15070129942059737
5,0,White | Protestant,MAR2_W50,probe_L_group,0.8423938211031284
5,0,White | Protestant,MAR2_W50,shrinkage,0.03751723453191422
5,0,White | Protestant,MARRFAM_W92,probe_plain,0.49718913537708254
5,0,White | Protestant,MARRFAM_W92,probe_L_group,0.5303719346765855
5,0,White | Protestant,MARRFAM_W92,shrinkage,0.08756270723901455
5,0,White | Protestant,MEDIALOYAL3_W45,probe_plain,0.5435759103035361
5,0,White | Protestant,MEDIALOYAL3_W45,probe_L_group,0.5964805206566799
5,0,White | Protestant,MEDIALOYAL3_W45,shrinkage,0.053791935060733875
5,0,White | Protestant,MOTHER_W50,probe_plain,0.1434839589613886
5,0,White | Protestant,MOTHER_W50,probe_L_group,0.5054993370934477
5,0,White | Protestant,MOTHER_W50,shrinkage,0.12839949314859816
5,0,White | Protestant,NOGOVTHC_W92,probe_plain,0.07133909747575723
5,0,White | Protestant,NOGOVTHC_W92,probe_L_group,0.252187043105766
5,0,White | Protestant,NOGOVTHC_W92,shrinkage,0.08370553886889073
5,0,White | Protestant,ONLINESOURCE_W45,probe_plain,0.1434449869203075
5,0,White | Protestant,ONLINESOURCE_W45,probe_L_group,0.14350732493570062
5,0,White | Protestant,ONLINESOURCE_W45,shrinkage,0.03190676604756404
5,0,White | Protestant,OPENIDEN_W92,probe_plain,0.4615658732668235
5,0,White | Protestant,OPENIDEN_W92,probe_L_group,0.4628302038126958
5,0,White | Protestant,OPENIDEN_W92,shrinkage,0.089500732533084
5,0,White | Protestant,PAR2CHILD_W92,probe_plain,0.35141292683500813
5,0,White | Protestant,PAR2CHILD_W92,probe_L_group,0.3514388420036578
5,0,White | Protestant,PAR2CHILD_W92,shrinkage,0.04092676076817492
5,0,White | Protestant,PEACESTR_W92,probe_plain,0.24662189385438868
5,0,White | Protestant,PEACESTR_W92,probe_L_group,0.5477974549611662
5,0,White | Protestant,PEACESTR_W92,shrinkage,0.18052088529254123
5,0,White | Protestant,POL1JB_W92,probe_plain,0.030490943738893883
5,0,White | Protestant,POL1JB_W92,probe_L_group,0.6628575342745076
5,0,White | Protestant,POL1JB_W92,shrinkage,0.2696897425056781
5,0,White | Protestant,POLICY1_W42,probe_plain,0.48800464059776705
5,0,White | Protestant,POLICY1_W42,probe_L_group,0.48800576178719357
5,0,White | Protestant,POLICY1_W42,shrinkage,0.06812859588843645
5,0,White | Protestant,POLICY2_W42,probe_plain,0.4570563823918007
5,0,White | Protestant,POLICY2_W42,probe_L_group,0.457411996540913
5,0,White | Protestant,POLICY2_W42,shrinkage,0.05819048973135055
5,0,White | Protestant,POP1_W42,probe_plain,0.38157023955678593
5,0,White | Protestant,POP1_W42,probe_L_group,0.38172244055573934
5,0,White | Protestant,POP1_W42,shrinkage,0.013196166812100119
5,0,White | Protestant,POP3_W42,probe_plain,0.789261125189677
5,0,White | Protestant,POP3_W42,probe_L_group,0.7199766898088801
5,0,White | Protestant,POP3_W42,shrinkage,0.06551946333737194
5,0,White | Protestant,POSNEGCO_W49,probe_plain,0.7114630165308851
5,0,White | Protestant,POSNEGCO_W49,probe_L_group,0.4550271064811486
5,0,White | Protestant,POSNEGCO_W49,shrinkage,0.0036288558391301684
5,0,White | Protestant,POSNEGGOV_W49,probe_plain,0.6363901186069593
5,0,White | Protestant,POSNEGGOV_W49,probe_L_group,0.011144187295479724
5,0,White | Protestant,POSNEGGOV_W49,shrinkage,0.020537110048471585
5,0,White | Protestant,PPLRESP_W92,probe_plain,0.512271831798452
5,0,White | Protestant,PPLRESP_W92,probe_L_group,0.6687989741761972
5,0,White | Protestant,PPLRESP_W92,shrinkage,0.00937080725001721
5,0,White | Protestant,PQ3_F2Aa_W42,probe_plain,0.10809975261096816
5,0,White | Protestant,PQ3_F2Aa_W42,probe_L_group,0.28519042345909795
5,0,White | Protestant,PQ3_F2Aa_W42,shrinkage,0.06891459446911907
5,0,White | Protestant,PQ3_F2Ab_W42,probe_plain,0.36927385419780206
5,0,White | Protestant,PQ3_F2Ab_W42,probe_L_group,0.5763194837383427
5,0,White | Protestant,PQ3_F2Ab_W42,shrinkage,0.16297671897417215
5,0,White | Protestant,PQ3_F2Ac_W42,probe_plain,0.19099310812589995
5,0,White | Protestant,PQ3_F2Ac_W42,probe_L_group,0.737708597231709
5,0,White | Protestant,PQ3_F2Ac_W42,shrinkage,0.03566529952806524
5,0,White | Protestant,PQ3_F2Ad_W42,probe_plain,0.23968298324828585
5,0,White | Protestant,PQ3_F2Ad_W42,probe_L_group,0.25171676167501966
5,0,White | Protestant,PQ3_F2Ad_W42,shrinkage,0.007988284752702857
5,0,White | Protestant,PQ3_F2Ba_W42,probe_plain,0.4598578153457984
5,0,White | Protestant,PQ3_F2Ba_W42,probe_L_group,0.7553810719304646
5,0,White | Protestant,PQ3_F2Ba_W42,shrinkage,0.07270791045767588
5,0,White | Protestant,PQ3_F2Bb_W42,probe_plain,0.5683278212503973
5,0,White | Protestant,PQ3_F2Bb_W42,probe_L_group,0.6003030370206683
5,0,White | Protestant,PQ3_F2Bb_W42,shrinkage,0.056308370991575984
5,0,White | Protestant,PQ3_F2Bc_W42,probe_plain,0.2652743945046192
