type,cell,n,wd_mouth,wd_L11,wd_L1,wd_L11H16,wd_qmean
RACExPOLPARTY,RACExPOLPARTY :: Refused | Independent,131,0.3132308784393289,0.26076384435136446,0.31753212868722563,0.2696531167719422,0.21294060911280274
RACExPOLPARTY,RACExPOLPARTY :: White | Democrat,250,0.351187895153849,0.2712939842385197,0.3716383834857461,0.274809331834831,0.17126695247373855
RACExPOLPARTY,RACExPOLPARTY :: White | Independent,250,0.3008406923768943,0.19586604054050782,0.2952574898276058,0.20761607801912588,0.10088764712138908
RACExPOLPARTY,RACExPOLPARTY :: White | Other,250,0.2873328811557236,0.19258744750857357,0.2807662956193123,0.20357625123302261,0.10248704781422242
RACExPOLPARTY,RACExPOLPARTY :: White | Refused,206,0.373039682525629,0.28714521694150213,0.3644822069516307,0.29601897137148026,0.219271015907408
RACExPOLPARTY,RACExPOLPARTY :: White | Republican,250,0.38088111222410564,0.2957877850507449,0.344972967275173,0.3054567660678482,0.25345322098461537
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Asian | Conservative,124,0.4317848989893326,0.37518511139548977,0.41352866367518043,0.37688732502728917,0.32585780453409546
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Asian | Liberal,250,0.3512845743003492,0.2764739995370436,0.36291264569209986,0.26744308182575816,0.2044752892268158
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Asian | Moderate,250,0.308259133627139,0.23609815603096923,0.3098319883874524,0.24410667333160962,0.17788987519309474
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Asian | Very liberal,100,0.4557902069244608,0.38437586578224286,0.4510028094454436,0.3562899012008687,0.31361940444940134
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Black | Conservative,250,0.35209332031365076,0.27697482453047517,0.35770548261468615,0.2743542912921214,0.21432718830896294
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Black | Liberal,250,0.32165207693889053,0.2641839187177269,0.33450910387467797,0.24482121922820294,0.17352078390151238
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Black | Moderate,250,0.29575618027136874,0.21037007398496033,0.30298891073641077,0.2061645536054774,0.1301009790960421
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Black | Refused,60,0.41149590763453237,0.3284607308074149,0.386115251474533,0.3265044740270596,0.31581763321233475
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Black | Very conservative,213,0.3650976545033898,0.2857581024888145,0.3597764793073446,0.30448680340933915,0.26458551329190594
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Black | Very liberal,250,0.35594682150370655,0.29446557119316435,0.38117308568533087,0.290917138077853,0.2484866254064019
