attr_type,pair,qkey,layer,wd_A_to_realA,wd_A_to_realB,wd_B_to_realB,wd_patch_to_realB,wd_ctrl_to_realB,shift_ke_realB,shift_ctrl_ke_realB
RACExRELIG,RACExRELIG :: White | Jewish -> RACExRELIG :: Mixed Race | Roman Catholic,FAMSURV9a_W50,14,0.44210625375911045,0.3899310817429791,0.3872419760960979,0.38923143970717433,0.39122057471570204,0.0006996420358047484,-0.001289492972722961
RACExRELIG,RACExRELIG :: White | Jewish -> RACExRELIG :: Mixed Race | Roman Catholic,FAMSURV9a_W50,15,0.44210625375911045,0.3899310817429791,0.3872419760960979,0.39060084091328406,0.39122057471570204,-0.0006697591703049843,-0.001289492972722961
RACExRELIG,RACExRELIG :: White | Jewish -> RACExRELIG :: Mixed Race | Roman Catholic,FAMSURV9a_W50,16,0.44210625375911045,0.3899310817429791,0.3872419760960979,0.3899310817429791,0.39122057471570204,0.0,-0.001289492972722961
RACExRELIG,RACExRELIG :: White | Jewish -> RACExRELIG :: Mixed Race | Roman Catholic,FAMSURV9a_W50,17,0.44210625375911045,0.3899310817429791,0.3872419760960979,0.39128959966069565,0.39122057471570204,-0.001358517917716573,-0.001289492972722961
RACExRELIG,RACExRELIG :: White | Jewish -> RACExRELIG :: Mixed Race | Roman Catholic,FAMSURV9a_W50,18,0.44210625375911045,0.3899310817429791,0.3872419760960979,0.39122057471570204,0.39122057471570204,-0.001289492972722961,-0.001289492972722961
RACExRELIG,RACExRELIG :: White | Jewish -> RACExRELIG :: Mixed Race | Roman Catholic,FAMSURV9a_W50,19,0.44210625375911045,0.3899310817429791,0.3872419760960979,0.39188967222408266,0.39122057471570204,-0.0019585904811035837,-0.001289492972722961
RACExRELIG,RACExRELIG :: White | Jewish -> RACExRELIG :: Mixed Race | Roman Catholic,FAMSURV9a_W50,20,0.44210625375911045,0.3899310817429791,0.3872419760960979,0.39122057471570204,0.39122057471570204,-0.001289492972722961,-0.001289492972722961
RACExRELIG,RACExRELIG :: White | Jewish -> RACExRELIG :: Mixed Race | Roman Catholic,FAMSURV9a_W50,21,0.44210625375911045,0.3899310817429791,0.3872419760960979,0.3900033584624214,0.39122057471570204,-7.227671944232128e-05,-0.001289492972722961
RACExRELIG,RACExRELIG :: White | Jewish -> RACExRELIG :: Mixed Race | Roman Catholic,FAMSURV9a_W50,22,0.44210625375911045,0.3899310817429791,0.3872419760960979,0.39060084091328406,0.39122057471570204,-0.0006697591703049843,-0.001289492972722961
RACExRELIG,RACExRELIG :: White | Jewish -> RACExRELIG :: Mixed Race | Roman Catholic,FAMSURV9a_W50,23,0.44210625375911045,0.3899310817429791,0.3872419760960979,0.3899310817429791,0.39122057471570204,0.0,-0.001289492972722961
RACExRELIG,RACExRELIG :: White | Jewish -> RACExRELIG :: Mixed Race | Roman Catholic,FAMSURV9a_W50,24,0.44210625375911045,0.3899310817429791,0.3872419760960979,0.3900033584624214,0.39122057471570204,-7.227671944232128e-05,-0.001289492972722961
RACExRELIG,RACExRELIG :: White | Jewish -> RACExRELIG :: Mixed Race | Roman Catholic,FAMSURV9a_W50,25,0.44210625375911045,0.3899310817429791,0.3872419760960979,0.3899310817429791,0.39122057471570204,0.0,-0.001289492972722961
RACExRELIG,RACExRELIG :: White | Jewish -> RACExRELIG :: Mixed Race | Roman Catholic,FAMSURV9a_W50,26,0.44210625375911045,0.3899310817429791,0.3872419760960979,0.3899310817429791,0.39122057471570204,0.0,-0.001289492972722961
RACExRELIG,RACExRELIG :: White | Jewish -> RACExRELIG :: Mixed Race | Roman Catholic,FAMSURV9a_W50,27,0.44210625375911045,0.3899310817429791,0.3872419760960979,0.3900033584624214,0.39122057471570204,-7.227671944232128e-05,-0.001289492972722961
RACExRELIG,RACExRELIG :: White | Jewish -> RACExRELIG :: Mixed Race | Roman Catholic,FAMSURV9a_W50,28,0.44210625375911045,0.3899310817429791,0.3872419760960979,0.3900033584624214,0.39122057471570204,-7.227671944232128e-05,-0.001289492972722961
RACExRELIG,RACExRELIG :: White | Jewish -> RACExRELIG :: Mixed Race | Roman Catholic,FAMSURV9a_W50,29,0.44210625375911045,0.3899310817429791,0.3872419760960979,0.3911517131425962,0.39122057471570204,-0.0012206313996171447,-0.001289492972722961
RACExRELIG,RACExRELIG :: White | Jewish -> RACExRELIG :: Mixed Race | Roman Catholic,FAMSURV9a_W50,30,0.44210625375911045,0.3899310817429791,0.3872419760960979,0.3899310817429791,0.39122057471570204,0.0,-0.001289492972722961
RACExRELIG,RACExRELIG :: White | Jewish -> RACExRELIG :: Mixed Race | Roman Catholic,FAMSURV9a_W50,31,0.44210625375911045,0.3899310817429791,0.3872419760960979,0.39060084091328406,0.39122057471570204,-0.0006697591703049843,-0.001289492972722961
RACExRELIG,RACExRELIG :: White | Orthodox -> RACExRELIG :: White | Atheist,FAMSURV27d_W50,0,1.589007407426834,1.1849307282194184,1.1539402951224682,1.1822339756712006,1.186077122776432,0.0026967525482177734,-0.001146394557013597
RACExRELIG,RACExRELIG :: White | Orthodox -> RACExRELIG :: White | Atheist,FAMSURV27d_W50,1,1.589007407426834,1.1849307282194184,1.1539402951224682,1.1846232576593445,1.186077122776432,0.00030747056007385254,-0.001146394557013597
RACExRELIG,RACExRELIG :: White | Orthodox -> RACExRELIG :: White | Atheist,FAMSURV27d_W50,2,1.589007407426834,1.1849307282194184,1.1539402951224682,1.1900757415517853,1.186077122776432,-0.005145013332366943,-0.001146394557013597
RACExRELIG,RACExRELIG :: White | Orthodox -> RACExRELIG :: White | Atheist,FAMSURV27d_W50,3,1.589007407426834,1.1849307282194184,1.1539402951224682,1.1830650134309815,1.186077122776432,0.0018657147884368896,-0.001146394557013597
RACExRELIG,RACExRELIG :: White | Orthodox -> RACExRELIG :: White | Atheist,FAMSURV27d_W50,4,1.589007407426834,1.1849307282194184,1.1539402951224682,1.1857658576618164,1.186077122776432,-0.0008351294423980526,-0.001146394557013597
RACExRELIG,RACExRELIG :: White | Orthodox -> RACExRELIG :: White | Atheist,FAMSURV27d_W50,5,1.589007407426834,1.1849307282194184,1.1539402951224682,1.180042196926625,1.186077122776432,0.004888531292793319,-0.001146394557013597
RACExRELIG,RACExRELIG :: White | Orthodox -> RACExRELIG :: White | Atheist,FAMSURV27d_W50,6,1.589007407426834,1.1849307282194184,1.1539402951224682,1.1782287372573899,1.186077122776432,0.006701990962028503,-0.001146394557013597
RACExRELIG,RACExRELIG :: White | Orthodox -> RACExRELIG :: White | Atheist,FAMSURV27d_W50,7,1.589007407426834,1.1849307282194184,1.1539402951224682,1.1692154240616035,1.186077122776432,0.015715304157814858,-0.001146394557013597
RACExRELIG,RACExRELIG :: White | Orthodox -> RACExRELIG :: White | Atheist,FAMSURV27d_W50,8,1.589007407426834,1.1849307282194184,1.1539402951224682,1.1812775534713045,1.186077122776432,0.0036531747481138854,-0.001146394557013597
RACExRELIG,RACExRELIG :: White | Orthodox -> RACExRELIG :: White | Atheist,FAMSURV27d_W50,9,1.589007407426834,1.1849307282194184,1.1539402951224682,1.1602843393453852,1.186077122776432,0.024646388874033143,-0.001146394557013597
RACExRELIG,RACExRELIG :: White | Orthodox -> RACExRELIG :: White | Atheist,FAMSURV27d_W50,10,1.589007407426834,1.1849307282194184,1.1539402951224682,1.1849307282194184,1.186077122776432,0.0,-0.001146394557013597
RACExRELIG,RACExRELIG :: White | Orthodox -> RACExRELIG :: White | Atheist,FAMSURV27d_W50,11,1.589007407426834,1.1849307282194184,1.1539402951224682,1.1562936674334623,1.186077122776432,0.02863706078595607,-0.001146394557013597
RACExRELIG,RACExRELIG :: White | Orthodox -> RACExRELIG :: White | Atheist,FAMSURV27d_W50,12,1.589007407426834,1.1849307282194184,1.1539402951224682,1.162076483687156,1.186077122776432,0.02285424453226237,-0.001146394557013597
RACExRELIG,RACExRELIG :: White | Orthodox -> RACExRELIG :: White | Atheist,FAMSURV27d_W50,13,1.589007407426834,1.1849307282194184,1.1539402951224682,1.185852967223715,1.186077122776432,-0.0009222390042966655,-0.001146394557013597
RACExRELIG,RACExRELIG :: White | Orthodox -> RACExRELIG :: White | Atheist,FAMSURV27d_W50,14,1.589007407426834,1.1849307282194184,1.1539402951224682,1.181596396935201,1.186077122776432,0.00333433128421734,-0.001146394557013597
