attr_type,pair,qkey,wd_A_to_realA,wd_A_to_realB,wd_B_to_realB,condition,wd_patch_to_realB,wd_patch_to_realA,wd_patch_to_predB,shift_ke_realB,shift_dari_realA
RELIGxPOLPARTY,RELIGxPOLPARTY :: Mormon | Democrat -> RELIGxPOLPARTY :: Atheist | Independent,FATHER_W50,0.35032711387661036,0.15561394511178583,0.14201615827999603,patch_L18H14,0.15709658845808516,0.3518097572229097,0.015080430178089133,-0.0014826433462993283,0.0014826433462993283
RELIGxPOLPARTY,RELIGxPOLPARTY :: Mormon | Democrat -> RELIGxPOLPARTY :: Atheist | Independent,FATHER_W50,0.35032711387661036,0.15561394511178583,0.14201615827999603,patch_top3,0.15709658845808516,0.3518097572229097,0.015080430178089133,-0.0014826433462993283,0.0014826433462993283
RELIGxPOLPARTY,RELIGxPOLPARTY :: Mormon | Democrat -> RELIGxPOLPARTY :: Atheist | Independent,FATHER_W50,0.35032711387661036,0.15561394511178583,0.14201615827999603,patch_random,0.15561394511178583,0.35032711387661036,0.013597786831789804,0.0,0.0
RELIGxPOLPARTY,RELIGxPOLPARTY :: Mormon | Democrat -> RELIGxPOLPARTY :: Atheist | Independent,LWPSP_W50,0.5575039872456191,0.07998587568250948,0.0944363661572104,patch_L11H16,0.0781972998540259,0.5592925630741028,0.0162390663031845,0.001788575828483574,0.001788575828483685
RELIGxPOLPARTY,RELIGxPOLPARTY :: Mormon | Democrat -> RELIGxPOLPARTY :: Atheist | Independent,LWPSP_W50,0.5575039872456191,0.07998587568250948,0.0944363661572104,patch_L18H14,0.07998587568250948,0.5575039872456191,0.014450490474700928,0.0,0.0
RELIGxPOLPARTY,RELIGxPOLPARTY :: Mormon | Democrat -> RELIGxPOLPARTY :: Atheist | Independent,LWPSP_W50,0.5575039872456191,0.07998587568250948,0.0944363661572104,patch_top3,0.07641277534805058,0.5610770875800781,0.01802359080915983,0.0035731003344589007,0.0035731003344590118
RELIGxPOLPARTY,RELIGxPOLPARTY :: Mormon | Democrat -> RELIGxPOLPARTY :: Atheist | Independent,LWPSP_W50,0.5575039872456191,0.07998587568250948,0.0944363661572104,patch_random,0.07998587568250948,0.5575039872456191,0.014450490474700928,0.0,0.0
RELIGxPOLPARTY,RELIGxPOLPARTY :: Mormon | Democrat -> RELIGxPOLPARTY :: Atheist | Independent,MARRDUR_W50,1.5072212614366853,0.5381400697977172,0.7246862138176541,patch_L11H16,0.5381987405389699,1.507279932177938,0.1864874732786842,-5.867074125265326e-05,5.867074125265326e-05
RELIGxPOLPARTY,RELIGxPOLPARTY :: Mormon | Democrat -> RELIGxPOLPARTY :: Atheist | Independent,MARRDUR_W50,1.5072212614366853,0.5381400697977172,0.7246862138176541,patch_L18H14,0.5365493917228441,1.5056305833618122,0.18813682209480997,0.0015906780748731197,-0.0015906780748731197
RELIGxPOLPARTY,RELIGxPOLPARTY :: Mormon | Democrat -> RELIGxPOLPARTY :: Atheist | Independent,MARRDUR_W50,1.5072212614366853,0.5381400697977172,0.7246862138176541,patch_top3,0.5398634976560153,1.5089446892949834,0.18482271616163887,-0.0017234278582980433,0.0017234278582980433
RELIGxPOLPARTY,RELIGxPOLPARTY :: Mormon | Democrat -> RELIGxPOLPARTY :: Atheist | Independent,MARRDUR_W50,1.5072212614366853,0.5381400697977172,0.7246862138176541,patch_random,0.5344642670738314,1.5035454587127994,0.19022194674382265,0.0036758027238857904,-0.0036758027238859015
RELIGxPOLPARTY,RELIGxPOLPARTY :: Mormon | Democrat -> RELIGxPOLPARTY :: Atheist | Independent,MARRYPREF2_W50,0.16402436429145512,0.479772287273591,0.23517926825539964,patch_L11H16,0.479772287273591,0.16402436429145512,0.24459301901819133,0.0,0.0
RELIGxPOLPARTY,RELIGxPOLPARTY :: Mormon | Democrat -> RELIGxPOLPARTY :: Atheist | Independent,MARRYPREF2_W50,0.16402436429145512,0.479772287273591,0.23517926825539964,patch_L18H14,0.479772287273591,0.16402436429145512,0.24459301901819133,0.0,0.0
RELIGxPOLPARTY,RELIGxPOLPARTY :: Mormon | Democrat -> RELIGxPOLPARTY :: Atheist | Independent,MARRYPREF2_W50,0.16402436429145512,0.479772287273591,0.23517926825539964,patch_top3,0.47958391222710806,0.16383598924497217,0.24440464397170839,0.000188375046482947,-0.000188375046482947
RELIGxPOLPARTY,RELIGxPOLPARTY :: Mormon | Democrat -> RELIGxPOLPARTY :: Atheist | Independent,MARRYPREF2_W50,0.16402436429145512,0.479772287273591,0.23517926825539964,patch_random,0.47958391222710806,0.16383598924497217,0.24440464397170839,0.000188375046482947,-0.000188375046482947
RELIGxPOLPARTY,RELIGxPOLPARTY :: Mormon | Democrat -> RELIGxPOLPARTY :: Atheist | Independent,REMARR_W50,0.5953239335267634,0.3676937730492211,0.3659890802594487,patch_L11H16,0.3676937730492211,0.5953239335267634,0.0017046927897723663,0.0,0.0
RELIGxPOLPARTY,RELIGxPOLPARTY :: Mormon | Democrat -> RELIGxPOLPARTY :: Atheist | Independent,REMARR_W50,0.5953239335267634,0.3676937730492211,0.3659890802594487,patch_L18H14,0.3676937730492211,0.5953239335267634,0.0017046927897723663,0.0,0.0
RELIGxPOLPARTY,RELIGxPOLPARTY :: Mormon | Democrat -> RELIGxPOLPARTY :: Atheist | Independent,REMARR_W50,0.5953239335267634,0.3676937730492211,0.3659890802594487,patch_top3,0.3693936987382012,0.5970238592157435,0.003404618478752508,-0.0016999256889801417,0.0016999256889801417
RELIGxPOLPARTY,RELIGxPOLPARTY :: Mormon | Democrat -> RELIGxPOLPARTY :: Atheist | Independent,REMARR_W50,0.5953239335267634,0.3676937730492211,0.3659890802594487,patch_random,0.3676937730492211,0.5953239335267634,0.0017046927897723663,0.0,0.0
RELIGxPOLPARTY,RELIGxPOLPARTY :: Mormon | Democrat -> RELIGxPOLPARTY :: Atheist | Independent,ROMRELSER_W50,0.4743855415049448,0.30699390341233374,0.43553267857597183,patch_L11H16,0.30699390341233374,0.4743855415049448,0.13372207858862006,0.0,0.0
RELIGxPOLPARTY,RELIGxPOLPARTY :: Mormon | Democrat -> RELIGxPOLPARTY :: Atheist | Independent,ROMRELSER_W50,0.4743855415049448,0.30699390341233374,0.43553267857597183,patch_L18H14,0.30699390341233374,0.4743855415049448,0.13372207858862006,0.0,0.0
RELIGxPOLPARTY,RELIGxPOLPARTY :: Mormon | Democrat -> RELIGxPOLPARTY :: Atheist | Independent,ROMRELSER_W50,0.4743855415049448,0.30699390341233374,0.43553267857597183,patch_top3,0.30862386996425323,0.47411707512598206,0.13101225588833898,-0.0016299665519194928,-0.0002684663789627173
RELIGxPOLPARTY,RELIGxPOLPARTY :: Mormon | Democrat -> RELIGxPOLPARTY :: Atheist | Independent,ROMRELSER_W50,0.4743855415049448,0.30699390341233374,0.43553267857597183,patch_random,0.30932402886633287,0.4759036217288802,0.13058041573493584,-0.0023301254539991323,0.001518080223935403
RELIGxPOLPARTY,RELIGxPOLPARTY :: Mormon | Democrat -> RELIGxPOLPARTY :: Atheist | Independent,SATLIFEa_W50,0.56041342165154,0.19001966808414805,0.420132711852575,patch_L11H16,0.18754999343069184,0.5579437469980838,0.23258271842188316,0.002469674653456211,-0.0024696746534561553
RELIGxPOLPARTY,RELIGxPOLPARTY :: Mormon | Democrat -> RELIGxPOLPARTY :: Atheist | Independent,SATLIFEa_W50,0.56041342165154,0.19001966808414805,0.420132711852575,patch_L18H14,0.18892221155248706,0.559315965119879,0.23121050030008794,0.0010974565316609897,-0.0010974565316609342
RELIGxPOLPARTY,RELIGxPOLPARTY :: Mormon | Democrat -> RELIGxPOLPARTY :: Atheist | Independent,SATLIFEa_W50,0.56041342165154,0.19001966808414805,0.420132711852575,patch_top3,0.18632611831934415,0.5567198718867361,0.23380659353323086,0.003693549764803905,-0.0036935497648038496
RELIGxPOLPARTY,RELIGxPOLPARTY :: Mormon | Democrat -> RELIGxPOLPARTY :: Atheist | Independent,SATLIFEa_W50,0.56041342165154,0.19001966808414805,0.420132711852575,patch_random,0.18754999343069184,0.5579437469980838,0.23258271842188316,0.002469674653456211,-0.0024696746534561553
RELIGxPOLPARTY,RELIGxPOLPARTY :: Mormon | Democrat -> RELIGxPOLPARTY :: Atheist | Independent,SATLIFEb_W50,0.31042684967239653,0.041381753808215765,0.20219059690819396,patch_L11H16,0.044641091997212584,0.3056410751997044,0.1955219631738381,-0.0032593381889968187,-0.004785774472692128
RELIGxPOLPARTY,RELIGxPOLPARTY :: Mormon | Democrat -> RELIGxPOLPARTY :: Atheist | Independent,SATLIFEb_W50,0.31042684967239653,0.041381753808215765,0.20219059690819396,patch_L18H14,0.04287128282140998,0.3077936251585143,0.19336941321502824,-0.001489529013194213,-0.0026332245138822596
RELIGxPOLPARTY,RELIGxPOLPARTY :: Mormon | Democrat -> RELIGxPOLPARTY :: Atheist | Independent,SATLIFEb_W50,0.31042684967239653,0.041381753808215765,0.20219059690819396,patch_top3,0.04320857114645629,0.3068072586601014,0.19435577971344112,-0.0018268173382405273,-0.0036195910122951425
RELIGxPOLPARTY,RELIGxPOLPARTY :: Mormon | Democrat -> RELIGxPOLPARTY :: Atheist | Independent,SATLIFEb_W50,0.31042684967239653,0.041381753808215765,0.20219059690819396,patch_random,0.04315065917386576,0.30827383539416253,0.19288920297937998,-0.0017689053656499976,-0.002153014278234
RELIGxPOLPARTY,RELIGxPOLPARTY :: Mormon | Democrat -> RELIGxPOLPARTY :: Atheist | Independent,SATLIFEc_W50,0.27428660282900663,0.3225620768979298,0.11571271890617502,patch_L11H16,0.3225620768979298,0.27428660282900663,0.20684935799175483,0.0,0.0
RELIGxPOLPARTY,RELIGxPOLPARTY :: Mormon | Democrat -> RELIGxPOLPARTY :: Atheist | Independent,SATLIFEc_W50,0.27428660282900663,0.3225620768979298,0.11571271890617502,patch_L18H14,0.3225620768979298,0.27428660282900663,0.20684935799175483,0.0,0.0
RELIGxPOLPARTY,RELIGxPOLPARTY :: Mormon | Democrat -> RELIGxPOLPARTY :: Atheist | Independent,SATLIFEc_W50,0.27428660282900663,0.3225620768979298,0.11571271890617502,patch_top3,0.3235416732456883,0.2752661991767651,0.2078289543395133,-0.0009795963477584602,0.0009795963477584602
RELIGxPOLPARTY,RELIGxPOLPARTY :: Mormon | Democrat -> RELIGxPOLPARTY :: Atheist | Independent,SATLIFEc_W50,0.27428660282900663,0.3225620768979298,0.11571271890617502,patch_random,0.32132387475143875,0.27304840068251557,0.20561115584526377,0.001238202146491063,-0.001238202146491063
RELIGxPOLPARTY,RELIGxPOLPARTY :: Atheist | Democrat -> RELIGxPOLPARTY :: Atheist | Independent,ADMISSIONb_W43,0.7174408069125665,0.6409939972051639,0.6007314478775634,patch_L11H16,0.6409939972051639,0.7174408069125665,0.04026254932760048,0.0,0.0
RELIGxPOLPARTY,RELIGxPOLPARTY :: Atheist | Democrat -> RELIGxPOLPARTY :: Atheist | Independent,ADMISSIONb_W43,0.7174408069125665,0.6409939972051639,0.6007314478775634,patch_L18H14,0.6434326915165054,0.719879501223908,0.042701243638941955,-0.0024386943113414716,0.0024386943113414716
RELIGxPOLPARTY,RELIGxPOLPARTY :: Atheist | Democrat -> RELIGxPOLPARTY :: Atheist | Independent,ADMISSIONb_W43,0.7174408069125665,0.6409939972051639,0.6007314478775634,patch_top3,0.6409939972051639,0.7174408069125665,0.04026254932760048,0.0,0.0
RELIGxPOLPARTY,RELIGxPOLPARTY :: Atheist | Democrat -> RELIGxPOLPARTY :: Atheist | Independent,ADMISSIONb_W43,0.7174408069125665,0.6409939972051639,0.6007314478775634,patch_random,0.6434326915165054,0.719879501223908,0.042701243638941955,-0.0024386943113414716,0.0024386943113414716
