component,layer,head,template,attr_type,rho
resid,8,-1,T2,AGExPOLPARTY,0.4489599667618243
resid,8,-1,T2,EDUCATIONxINCOME,0.46933735340376664
resid,8,-1,T2,RACExPOLIDEOLOGY,0.2041528752504678
resid,8,-1,T2,RACExPOLPARTY,0.16239237203496884
resid,8,-1,T2,RACExRELIG,0.055959877203681875
resid,8,-1,T2,RELIGxPOLPARTY,0.035567990776412095
resid,8,-1,T3,AGExPOLPARTY,0.45366424081594353
resid,8,-1,T3,EDUCATIONxINCOME,0.4514351012012276
resid,8,-1,T3,RACExPOLIDEOLOGY,0.276826504242056
resid,8,-1,T3,RACExPOLPARTY,0.16010806236370148
resid,8,-1,T3,RACExRELIG,0.046126308232893785
resid,8,-1,T3,RELIGxPOLPARTY,0.16311847881073624
resid,8,-1,Tmean,AGExPOLPARTY,0.46611850481819517
resid,8,-1,Tmean,EDUCATIONxINCOME,0.4905314919098041
resid,8,-1,Tmean,RACExPOLIDEOLOGY,0.30401605674008303
resid,8,-1,Tmean,RACExPOLPARTY,0.16480620427122628
resid,8,-1,Tmean,RACExRELIG,0.06570918502285865
resid,8,-1,Tmean,RELIGxPOLPARTY,0.17688052984457756
resid,9,-1,T0,AGExPOLPARTY,0.4968269604492514
resid,9,-1,T0,EDUCATIONxINCOME,0.5065093802185017
resid,9,-1,T0,RACExPOLIDEOLOGY,0.4031181102773496
resid,9,-1,T0,RACExPOLPARTY,0.19293475774540186
resid,9,-1,T0,RACExRELIG,0.07330524804473496
resid,9,-1,T0,RELIGxPOLPARTY,0.24755728295747279
resid,9,-1,T1,AGExPOLPARTY,0.4732385777277418
resid,9,-1,T1,EDUCATIONxINCOME,0.521694863355761
resid,9,-1,T1,RACExPOLIDEOLOGY,0.3903049291945992
resid,9,-1,T1,RACExPOLPARTY,0.1744481798187491
resid,9,-1,T1,RACExRELIG,0.09201269505421845
resid,9,-1,T1,RELIGxPOLPARTY,0.20143511721921983
resid,9,-1,T2,AGExPOLPARTY,0.4715586355250032
resid,9,-1,T2,EDUCATIONxINCOME,0.48114941798775346
resid,9,-1,T2,RACExPOLIDEOLOGY,0.2549530810003115
resid,9,-1,T2,RACExPOLPARTY,0.1969431024060716
resid,9,-1,T2,RACExRELIG,0.05878206823591643
resid,9,-1,T2,RELIGxPOLPARTY,0.06151701978461578
resid,9,-1,T3,AGExPOLPARTY,0.47043075603447115
resid,9,-1,T3,EDUCATIONxINCOME,0.4682152589844236
resid,9,-1,T3,RACExPOLIDEOLOGY,0.30349389057754733
resid,9,-1,T3,RACExPOLPARTY,0.16614625917837866
resid,9,-1,T3,RACExRELIG,0.06927286809989798
